BorderStyle,BorderThickness,ChEBI,Color,Ensembl,FillColor,GraphID,Height,IsGPMLShape,LabelFont,LabelSize,name,selected,Shape,shared name,Transparent,Type,Width,XrefDatasource,XrefId
,1,,#000000,ENSG00000150672,#ffffff,c6882,25,,Arial,13,"DLG2
",FALSE,Rectangle,"DLG2
",FALSE,GeneProduct,90,Ensembl,ENSG00000150672
,1,,#000000,ENSG00000064692,#ffffff,b824f,25,,Arial,13,"SNCAIP

",FALSE,Rectangle,"SNCAIP

",FALSE,GeneProduct,90,Ensembl,ENSG00000064692
,1,,#000000,ENSG00000197386,#ffffff,eda6d,25,,Arial,13,"HTT

",FALSE,Rectangle,"HTT

",FALSE,GeneProduct,90,Ensembl,ENSG00000197386
,1,,#000000,ENSG00000134014,#ffffff,c5e23,25,,Arial,13,ELP3,FALSE,Rectangle,ELP3,FALSE,GeneProduct,90,Ensembl,ENSG00000134014
,1,,#000000,ENSG00000172531,#ffffff,b9570,25,,Arial,13,PPP1CA,FALSE,Rectangle,PPP1CA,FALSE,GeneProduct,90,Ensembl,ENSG00000172531
,1,,#000000,ENSG00000094631,#ffffff,bd523,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000104205,#ffffff,ba885,25,,Arial,13,"SGK3
",FALSE,Rectangle,"SGK3
",FALSE,GeneProduct,90,Ensembl,ENSG00000104205
,1,,#000000,ENSG00000118515,#ffffff,ca732,25,,Arial,13,"SGK1
",FALSE,Rectangle,"SGK1
",FALSE,GeneProduct,90,Ensembl,ENSG00000118515
,1,,#000000,ENSG00000101460,#ffffff,bedf9,25,,Arial,13,"MAP1LC3A
",FALSE,Rectangle,"MAP1LC3A
",FALSE,GeneProduct,90,Ensembl,ENSG00000101460
,1,,#000000,ENSG00000111859,#ffffff,e8476,25,,Arial,13,"NEDD9

",FALSE,Rectangle,"NEDD9

",FALSE,GeneProduct,90,Ensembl,ENSG00000111859
,1,,#000000,ENSG00000094631,#ffffff,a3867,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000094631,#ffffff,c3834,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000204435,#ffffff,ab61d,25,,Arial,13,"CSNK2B
",FALSE,Rectangle,"CSNK2B
",FALSE,GeneProduct,90,Ensembl,ENSG00000204435
,1,,#000000,ENSG00000204843,#ffffff,a0f95,25,,Arial,13,"DCTN1
",FALSE,Rectangle,"DCTN1
",FALSE,GeneProduct,90,Ensembl,ENSG00000204843
,1,,#000000,ENSG00000120251,#ffffff,a9c33,25,,Arial,13,"GRIA2
",FALSE,Rectangle,"GRIA2
",FALSE,GeneProduct,90,Ensembl,ENSG00000120251
,1,,#000000,ENSG00000155511,#ffffff,e259f,25,,Arial,13,"GRIA1

",FALSE,Rectangle,"GRIA1

",FALSE,GeneProduct,90,Ensembl,ENSG00000155511
,1,,#000000,ENSG00000120948,#ffffff,dfd2d,25,,Arial,13,"TARDBP

",FALSE,Rectangle,"TARDBP

",FALSE,GeneProduct,90,Ensembl,ENSG00000120948
,1,,#000000,ENSG00000089280,#ffffff,af872,25,,Arial,13,"FUS
",FALSE,Rectangle,"FUS
",FALSE,GeneProduct,90,Ensembl,ENSG00000089280
,1,,#000000,ENSG00000077380,#ffffff,c4b2b,25,,Arial,13,DYNC1I2,FALSE,Rectangle,DYNC1I2,FALSE,GeneProduct,90,Ensembl,ENSG00000077380
,1,,#000000,ENSG00000094631,#ffffff,f5531,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000094631,#ffffff,bf825,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000170606,#ffffff,abca0,25,,Arial,13,HSPA4,FALSE,Rectangle,HSPA4,FALSE,Protein,90,Ensembl,ENSG00000170606
,1,,#000000,ENSG00000186868,#ffffff,e24d3,25,,Arial,13,"MAPT
",FALSE,Rectangle,"MAPT
",FALSE,GeneProduct,90,Ensembl,ENSG00000186868
,1,,#000000,ENSG00000070770,#ffffff,bac73,25,,Arial,13,CSNK2A2,FALSE,Rectangle,CSNK2A2,FALSE,GeneProduct,90,Ensembl,ENSG00000070770
,1,,#000000,ENSG00000014641,#ffffff,d0085,25,,Arial,13,MDH1,FALSE,Rectangle,MDH1,FALSE,Protein,90,Ensembl,ENSG00000014641
,1,,#000000,ENSG00000167792,#ffffff,d14b6,25,,Arial,13,NDUFV1,FALSE,Rectangle,NDUFV1,FALSE,Protein,90,Ensembl,ENSG00000167792
,1,,#000000,ENSG00000240972,#ffffff,d456c,25,,Arial,13,MIF,FALSE,Rectangle,MIF,FALSE,Protein,90,Ensembl,ENSG00000240972
,1,,#000000,ENSG00000126858,#ffffff,feb11,25,,Arial,13,RHOT1,FALSE,Rectangle,RHOT1,FALSE,Protein,90,Ensembl,ENSG00000126858
,1,,#000000,ENSG00000113300,#ffffff,f35e3,25,,Arial,13,CNOT6,FALSE,Rectangle,CNOT6,FALSE,Protein,90,Ensembl,ENSG00000113300
,1,,#000000,ENSG00000109971,#ffffff,b389c,25,,Arial,13,"HSPA8
",FALSE,Rectangle,"HSPA8
",FALSE,GeneProduct,90,Ensembl,ENSG00000109971
,1,,#000000,ENSG00000185591,#ffffff,b8f9e,25,,Arial,13,SP1,FALSE,Rectangle,SP1,FALSE,GeneProduct,90,Ensembl,ENSG00000185591
,1,,#000000,ENSG00000049768,#ffffff,e1717,25,,Arial,13,FOXP3,FALSE,Rectangle,FOXP3,FALSE,GeneProduct,90,Ensembl,ENSG00000049768
,1,,#000000,ENSG00000163492,#ffffff,dc3ad,25,,Arial,13,"CCDC141

",FALSE,Rectangle,"CCDC141

",FALSE,GeneProduct,90,Ensembl,ENSG00000163492
,1,,#000000,ENSG00000100644,#ffffff,e8280,25,,Arial,13,"HIF1A
",FALSE,Rectangle,"HIF1A
",FALSE,GeneProduct,90,Ensembl,ENSG00000100644
,1,,#000000,ENSG00000185345,#ffffff,f4f2a,25,,Arial,13,"PRKN

",FALSE,Rectangle,"PRKN

",FALSE,GeneProduct,90,Ensembl,ENSG00000185345
,1,,#000000,ENSG00000106105,#ffffff,c4dab,25,,Arial,13,"GARS1
",FALSE,Rectangle,"GARS1
",FALSE,GeneProduct,90,Ensembl,ENSG00000106105
,1,,#000000,ENSG00000106211,#ffffff,e6734,25,,Arial,13,"HSPB1
",FALSE,Rectangle,"HSPB1
",FALSE,GeneProduct,90,Ensembl,ENSG00000106211
,1,,#000000,ENSG00000085733,#ffffff,bd890,25,,Arial,13,"CTTN
",FALSE,Rectangle,"CTTN
",FALSE,GeneProduct,90,Ensembl,ENSG00000085733
,1,,#000000,ENSG00000168036,#ffffff,e9d1f,25,,Arial,13,"CTNNB1

",FALSE,Rectangle,"CTNNB1

",FALSE,GeneProduct,90,Ensembl,ENSG00000168036
,1,,#000000,ENSG00000196419,#ffffff,c7613,25,,Arial,13,"XRCC6

",FALSE,Rectangle,"XRCC6

",FALSE,GeneProduct,90,Ensembl,ENSG00000196419
,1,,#000000,ENSG00000117450,#ffffff,f2b11,25,,Arial,13,"PRDX1

",FALSE,Rectangle,"PRDX1

",FALSE,GeneProduct,90,Ensembl,ENSG00000117450
,1,,#000000,ENSG00000167815,#ffffff,a38f2,25,,Arial,13,"PRDX2
",FALSE,Rectangle,"PRDX2
",FALSE,GeneProduct,90,Ensembl,ENSG00000167815
,1,,#000000,ENSG00000086061,#ffffff,ab19a,25,,Arial,13,"DNAJA1
",FALSE,Rectangle,"DNAJA1
",FALSE,GeneProduct,90,Ensembl,ENSG00000086061
,1,,#000000,ENSG00000080824,#ffffff,b70d4,25,,Arial,13,HSP90AA1,FALSE,Rectangle,HSP90AA1,FALSE,GeneProduct,90,Ensembl,ENSG00000080824
,1,,#000000,ENSG00000196230,#ffffff,d910f,25,,Arial,13,"TUBB
",FALSE,Rectangle,"TUBB
",FALSE,GeneProduct,90,Ensembl,ENSG00000196230
,1,,#000000,ENSG00000258947,#ffffff,dbc08,25,,Arial,13,"TUBB3
",FALSE,Rectangle,"TUBB3
",FALSE,GeneProduct,90,Ensembl,ENSG00000258947
,1,,#000000,ENSG00000167553,#ffffff,b0b9d,25,,Arial,13,TUBA1C,FALSE,Rectangle,TUBA1C,FALSE,GeneProduct,90,Ensembl,ENSG00000167553
,1,,#000000,ENSG00000198033,#ffffff,b44d3,25,,Arial,13,TUBA3C,FALSE,Rectangle,TUBA3C,FALSE,GeneProduct,90,Ensembl,ENSG00000198033
,1,,#000000,ENSG00000101665,#ffffff,f9e02,25,,Arial,13,SMAD7,FALSE,Rectangle,SMAD7,FALSE,GeneProduct,90,Ensembl,ENSG00000101665
,1,,#000000,,#ffffff,d3839,25,,Arial,13,tat,FALSE,Rectangle,tat,FALSE,GeneProduct,90,Uniprot-SwissProt,155871
,1,,#000000,ENSG00000127824,#ffffff,cead7,25,,Arial,13,TUBA4A,FALSE,Rectangle,TUBA4A,FALSE,GeneProduct,90,Ensembl,ENSG00000127824
,1,,#ff0099,,#ffffff,d80b6,25,,Arial,13,miR-613,FALSE,Rectangle,miR-613,FALSE,Rna,90,,
,1,,#000000,ENSG00000094631,#ffffff,a5b8b,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000067606,#ffffff,aa957,25,,Arial,13,"PRKCZ
",FALSE,Rectangle,"PRKCZ
",FALSE,GeneProduct,90,Ensembl,ENSG00000067606
,1,,#000000,ENSG00000186868,#ffffff,e3716,25,,Arial,13,"MAPT
",FALSE,Rectangle,"MAPT
",FALSE,GeneProduct,90,Ensembl,ENSG00000186868
,1,,#000000,ENSG00000094631,#ffffff,e8c83,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000185345,#ffffff,f4290,25,,Arial,13,"PRKN

",FALSE,Rectangle,"PRKN

",FALSE,GeneProduct,90,Ensembl,ENSG00000185345
,1,,#000000,ENSG00000080824,#ffffff,e9520,25,,Arial,13,HSP90AA1,FALSE,Rectangle,HSP90AA1,FALSE,GeneProduct,90,Ensembl,ENSG00000080824
,1,,#000000,ENSG00000185122,#ffffff,dd596,25,,Arial,13,"HSF1
",FALSE,Rectangle,"HSF1
",FALSE,GeneProduct,90,Ensembl,ENSG00000185122
,1,,#000000,ENSG00000094631,#ffffff,f07f7,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#666666,ENSG00000094631,#ffffff,dcb5f,25,,Arial Bold,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#666666,ENSG00000094631,#ffffff,ba585,25,,Arial Bold,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#666666,ENSG00000094631,#ffffff,cd330,25,,Arial Bold,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#666666,ENSG00000094631,#ffffff,ca6be,25,,Arial Bold,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#666666,ENSG00000094631,#ffffff,f2d89,25,,Arial Bold,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000134982,#ffffff,b8e73,25,,Arial,13,APC,FALSE,Rectangle,APC,FALSE,GeneProduct,90,Ensembl,ENSG00000134982
,1,,#000000,ENSG00000196419,#ffffff,d5930,25,,Arial,13,"XRCC6

",FALSE,Rectangle,"XRCC6

",FALSE,GeneProduct,90,Ensembl,ENSG00000196419
,1,,#000000,ENSG00000087088,#ffffff,cb227,25,,Arial,13,"BAX
",FALSE,Rectangle,"BAX
",FALSE,GeneProduct,90,Ensembl,ENSG00000087088
,1,,#000000,ENSG00000134086,#ffffff,a0780,25,,Arial,13,VHL,FALSE,Rectangle,VHL,FALSE,GeneProduct,90,Ensembl,ENSG00000134086
,1,,#000000,ENSG00000094631,#ffffff,f48bb,25,,Arial,13,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,90,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000134086,#ffffff,af77a,25,,Arial,13,VHL,FALSE,Rectangle,VHL,FALSE,GeneProduct,90,Ensembl,ENSG00000134086
,1,,#000000,ENSG00000160145,#ffffff,ddfca,25,,Arial,13,KALRN,FALSE,Rectangle,KALRN,FALSE,GeneProduct,90,Ensembl,ENSG00000160145
,1,,#000000,ENSG00000161011,#ffffff,ee932,25,,Arial,13,"SQSTM1

",FALSE,Rectangle,"SQSTM1

",FALSE,GeneProduct,90,Ensembl,ENSG00000161011
,1,,#000000,ENSG00000171791,#ffffff,a43b7,25,,Arial,13,"BCL2
",FALSE,Rectangle,"BCL2
",FALSE,GeneProduct,90,Ensembl,ENSG00000171791
,1,,#000000,ENSG00000087088,#ffffff,eae25,25,,Arial,13,"BAX
",FALSE,Rectangle,"BAX
",FALSE,GeneProduct,90,Ensembl,ENSG00000087088
,1,,#0000ff,,#ffffff,ed118,23.294671201813756,,Arial,13,Methylmercury (MeHg),FALSE,Rectangle,Methylmercury (MeHg),FALSE,Metabolite,142.70690970502403,,
,,,,,,f7b09,,TRUE,,,,FALSE,,,,,,,
,,,,,,cac8c,,TRUE,,,,FALSE,,,,,,,
,,,,,,afeec,,TRUE,,,,FALSE,,,,,,,
,,,,,,b8454,,TRUE,,,,FALSE,,,,,,,
,,,,,,f767f,,TRUE,,,"

",FALSE,,"

",,,,,
,,,,,,,,,,,P,FALSE,,P,,,,,
,,,,,,,,,,,P,FALSE,,P,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,Label,FALSE,,Label,,,,,
,,,,,,,,,,,"HDAC6 in complex with other proteins


",FALSE,,"HDAC6 in complex with other proteins


",,,,,
,,,,,,,,,,,Regulators of HDAC6,FALSE,,Regulators of HDAC6,,,,,
,,,,,,,,,,,"(De)acetylation activity

",FALSE,,"(De)acetylation activity

",,,,,
,,,,,,,,,,,Inhibit/Reduce,FALSE,,Inhibit/Reduce,,,,,
,,,,,,,,,,,Interact/Bind (directional interaction),FALSE,,Interact/Bind (directional interaction),,,,,
,,,,,,,,,,,Induce/stimulate,FALSE,,Induce/stimulate,,,,,
,,,,,,,,,,,"Aggresome-autophagy
",FALSE,,"Aggresome-autophagy
",,,,,
,,,,,,,,,,,"Phosphorylation
",FALSE,,"Phosphorylation
",,,,,
,,,,,,,,,,,Interact/Bind (non-directional interaction),FALSE,,Interact/Bind (non-directional interaction),,,,,
,,,,,,,,,,,"Functional interactions: regulate, modulate
control,assocciate,mediate,co-localize
           
",FALSE,,"Functional interactions: regulate, modulate
control,assocciate,mediate,co-localize
           
",,,,,
,,,,,,,,,,,Phosphorylation of HDAC6,FALSE,,Phosphorylation of HDAC6,,,,,
,,,,,,,,,,,Chemical Compound,FALSE,,Chemical Compound,,,,,
,,,,,,,,,,,RNA,FALSE,,RNA,,,,,
,,,,,,,,,,,Label,FALSE,,Label,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,FALSE,,,,,,,
